Entity,Code,Year,Oil (terawatt-hours),Gas (terawatt-hours),Coal (terawatt-hours)
Africa,,1965,316.7773001,10.552653,335.5907573
Africa,,1966,347.3688632,11.788922,331.3719781
Africa,,1967,344.1296685,11.660342,341.0108269
Africa,,1968,363.1425067,11.901662,355.4072587
Africa,,1969,368.629932,14.177457,357.5063946
Africa,,1970,409.3456166,17.536895,367.9708149
Africa,,1971,460.7409183,20.02041699,388.7319283
Africa,,1972,499.3394123,26.61432906,392.4449646
Africa,,1973,536.6344732,42.48090162,414.9090023
Africa,,1974,555.1184177,47.54558996,432.1409868
Africa,,1975,581.416477,57.61846865,459.0794933
Africa,,1976,650.0473991,65.74713429,481.9503073
Africa,,1977,684.2800918,73.58644182,492.9228231
Africa,,1978,716.2458668,105.1489866,477.932741
Africa,,1979,760.3071804,160.8862751,504.5518342
Africa,,1980,811.9596631,204.1490217,543.8856856
Africa,,1981,859.8852986,249.7807298,636.1955237
Africa,,1982,904.4871091,269.4671382,702.5677828
Africa,,1983,936.0344544,296.3740991,710.0489165
Africa,,1984,957.2511329,283.7055285,762.6247721
Africa,,1985,978.2712109,303.2523634,787.1902554
Africa,,1986,963.1666389,341.2146473,805.3904154
Africa,,1987,1011.36451,351.6125823,828.3495232
Africa,,1988,1061.413257,390.0123328,890.1926297
Africa,,1989,1096.854205,404.1198123,835.6744672
Africa,,1990,1115.95365,414.1364898,878.1254019
Africa,,1991,1118.18626,417.7836238,853.5168096
Africa,,1992,1139.430475,445.3025191,858.6388272
Africa,,1993,1154.363199,445.0699703,871.9575494
Africa,,1994,1179.913003,465.7397875,894.5019365
Africa,,1995,1222.507083,496.700701,922.1579753
Africa,,1996,1254.757838,523.3997035,934.8996639
Africa,,1997,1291.83582,514.0855153,958.678971
Africa,,1998,1322.598102,542.9009104,936.68678
Africa,,1999,1371.203705,545.5149525,965.9015436
Africa,,2000,1377.30177,602.7971663,963.952518
Africa,,2001,1393.652295,687.4480375,976.7593737
Africa,,2002,1417.240346,726.1882411,935.5459233
Africa,,2003,1453.795245,773.9899825,1018.290453
Africa,,2004,1526.042524,851.3665506,1118.943334
Africa,,2005,1605.678855,890.0315285,1038.650801
Africa,,2006,1606.460685,937.7663214,1053.43691
Africa,,2007,1675.305075,1011.887161,1070.914469
Africa,,2008,1763.860543,1054.12707,1180.254461
Africa,,2009,1821.436027,1041.727666,1174.814967
Africa,,2010,1913.056088,1114.131134,1164.141839
Africa,,2011,1854.332346,1185.575657,1144.979465
Africa,,2012,1960.85632,1262.804608,1117.0875
Africa,,2013,2039.573465,1289.47761,1133.414221
Africa,,2014,2064.526722,1329.651854,1189.676101
Africa,,2015,2117.744464,1421.633562,1108.521085
Africa,,2016,2156.143916,1446.11348,1115.887202
Algeria,DZA,1965,14.99107,8.08285,0.8141
Algeria,DZA,1966,19.68959,8.39686,0.79084
Algeria,DZA,1967,18.35214,8.141,0.60476
Algeria,DZA,1968,19.56166,8.55968,0.63965
Algeria,DZA,1969,20.64325,11.25784,0.8141
Algeria,DZA,1970,23.63216,10.5833,0.96529
Algeria,DZA,1971,26.60944,12.01379,0.26749
