Entity,Code,Year,Hydropower (terawatt-hours),Wind (terawatt-hours),Solar (terawatt-hours),Other renewables (modern biofuels; geothermal; wave & tidal) (terawatt-hours)
Africa,,1965,14.27880557,0,0,0
Africa,,1966,15.64904894,0,0,0
Africa,,1967,16.15833296,0,0,0
Africa,,1968,18.62298276,0,0,0
Africa,,1969,21.58289682,0,0,0
Africa,,1970,27.07628702,0,0,0
Africa,,1971,25.8366053,0,0,0.164
Africa,,1972,29.83687842,0,0,0.165
Africa,,1973,29.80374195,0,0,0.17
Africa,,1974,35.08918549,0,0,0.175
Africa,,1975,36.87904837,0,0,0.172
Africa,,1976,40.86117924,0,0,0.185
Africa,,1977,45.08335112,0,0,0.189
Africa,,1978,46.08507934,0,0,0.195
Africa,,1979,47.28020678,0,0,0.201
Africa,,1980,46.03017056,0,0,0.207
Africa,,1981,48.37744646,0,0,0.218
Africa,,1982,48.63271473,0,0,0.236
Africa,,1983,45.50891466,0,0,0.23
Africa,,1984,45.12596032,0,0,0.234
Africa,,1985,48.12639105,0,0,0.269
Africa,,1986,51.0318819,0,0,0.659
Africa,,1987,48.35233631,0,0,0.658
Africa,,1988,52.38957276,0,0,0.626
Africa,,1989,55.79135077,0,0,0.617
Africa,,1990,57.73029692,0,0,0.732157895
Africa,,1991,60.70288481,0,0,0.738421053
Africa,,1992,58.41492327,0,0,0.730421053
Africa,,1993,57.33040316,0.002,0,0.715421053
Africa,,1994,58.05409897,0.0054,0,0.600473684
Africa,,1995,61.85884098,0.0063,0,0.745473684
Africa,,1996,63.22384352,0.0071,0,0.948461509
Africa,,1997,64.65638459,0.0072,0,1.033461509
Africa,,1998,68.17047554,0.0076,0,1.333870386
Africa,,1999,71.86765861,0.0318,0,1.266554597
Africa,,2000,74.70620373,0.2325,0.002,1.619631579
Africa,,2001,80.91176207,0.45808,0.002,1.709421053
Africa,,2002,82.94512331,0.435064,0.023313131,1.536368421
Africa,,2003,81.1001489,0.621187,0.023313131,1.914
Africa,,2004,87.43446635,0.786267,0.025323232,2.292
Africa,,2005,89.30455445,0.822299,0.028323232,2.2827
Africa,,2006,96.57064358,0.86144,0.031933333,3.08399
Africa,,2007,94.64260312,1.182661,0.033857616,2.41415
Africa,,2008,96.72956338,1.291401,0.089114799,2.519322
Africa,,2009,98.43312123,1.681591,0.12676555,2.85412219
Africa,,2010,108.0390669,2.368697,0.245570923,3.207342064
Africa,,2011,104.9329586,2.411056,0.400934193,3.172856611
Africa,,2012,112.8685075,2.4314262,0.545924313,3.272923546
Africa,,2013,118.2413857,3.2825801,0.812731312,3.55053759
Africa,,2014,123.6531051,5.323814851,1.806517799,4.712818028
Africa,,2015,118.899101,8.852923501,3.534706304,6.303892605
Africa,,2016,114.1265232,11.21307848,4.712725862,6.277311494
Algeria,DZA,1965,0.3933266,0,0,0
Algeria,DZA,1966,0.3623908,0,0,0
Algeria,DZA,1967,0.4065848,0,0,0
Algeria,DZA,1968,0.5568444,0,0,0
Algeria,DZA,1969,0.3623908,0,0,0
Algeria,DZA,1970,0.5833608,0,0,0
Algeria,DZA,1971,0.3270356,0,0,0
Algeria,DZA,1972,0.4993922,0,0,0
Algeria,DZA,1973,0.7557174,0,0,0
Algeria,DZA,1974,0.4993922,0,0,0
Algeria,DZA,1975,0.3270356,0,0,0
Algeria,DZA,1976,0.3844878,0,0,0
Algeria,DZA,1977,0.2695834,0,0,0
Algeria,DZA,1978,0.2563252,0,0,0
Algeria,DZA,1979,0.2916804,0,0,0
Algeria,DZA,1980,0.2563252,0,0,0
Algeria,DZA,1981,0.3623908,0,0,0
Algeria,DZA,1982,0.4772952,0,0,0
Algeria,DZA,1983,0.2342282,0,0,0
Algeria,DZA,1984,0.4551982,0,0,0
Algeria,DZA,1985,0.6496518,0,0,0
Algeria,DZA,1986,0.2563252,0,0,0
Algeria,DZA,1987,0.4993922,0,0,0
Algeria,DZA,1988,0.1856148,0,0,0
Algeria,DZA,1989,0.2695834,0,0,0
Algeria,DZA,1990,0.1370014,0,0,0
Algeria,DZA,1991,0.2916804,0,0,0
Algeria,DZA,1992,0.198873,0,0,0
Algeria,DZA,1993,0.353552,0,0,0
Algeria,DZA,1994,0.1679372,0,0,0
Algeria,DZA,1995,0.1944536,0,0,0
Algeria,DZA,1996,0.1370014,0,0,0
Algeria,DZA,1997,0.0751298,0,0,0
Algeria,DZA,1998,0.2165506,0,0,0
Algeria,DZA,1999,0.2032924,0,0,0
Algeria,DZA,2000,0.0530328,0,0,0
Algeria,DZA,2001,0.0707104,0,0,0
Algeria,DZA,2002,0.0574522,0,0,0
Algeria,DZA,2003,0.265164,0,0,0
Algeria,DZA,2004,0.2519058,0,0,0
Algeria,DZA,2005,0.5553,0,0,0
Algeria,DZA,2006,0.2176,0,0,0
Algeria,DZA,2007,0.226,0,0,0
Algeria,DZA,2008,0.283,0,0,0
Algeria,DZA,2009,0.342,0,0,0
Algeria,DZA,2010,0.173,0,0.0091,0
Algeria,DZA,2011,0.378,0,0.01811875,0
Algeria,DZA,2012,0.389,0,0.026723014,0
Algeria,DZA,2013,0.099,0,0.0286,0
Algeria,DZA,2014,0.193,0.001,0.06,0
Algeria,DZA,2015,0.145,0.019,0.058,0
Algeria,DZA,2016,0.072,0.019052055,0.205,0
Argentina,ARG,1965,1.2109156,0,0,0
Argentina,ARG,1966,1.2285932,0,0,0
Argentina,ARG,1967,1.2551096,0,0,0
Argentina,ARG,1968,1.480499,0,0,0
Argentina,ARG,1969,1.32582,0,0,0
Argentina,ARG,1970,1.5158542,0,0,0.056198639
Argentina,ARG,1971,1.524693,0,0,0.058971088
Argentina,ARG,1972,1.4849184,0,0,0.077863139
Argentina,ARG,1973,2.960998,0,0,0.058667347
Argentina,ARG,1974,4.971825,0,0,0.060378
Argentina,ARG,1975,5.1353428,0,0,0.069018868
Argentina,ARG,1976,4.9408892,0,0,0.059888776
Argentina,ARG,1977,5.7054454,0,0,0.064670231
Argentina,ARG,1978,7.6632396,0,0,0.064089103
Argentina,ARG,1979,10.5358496,0,0,0.099736042
Argentina,ARG,1980,14.9729272,0,0,0.102146341
Argentina,ARG,1981,14.5000514,0,0,0.088290741
Argentina,ARG,1982,17.4964046,0,0,0.118389367
Argentina,ARG,1983,18.207928,0,0,0.159832041
Argentina,ARG,1984,19.6486524,0,0,0.125501694
Argentina,ARG,1985,20.6562756,0,0,0.136370889
Argentina,ARG,1986,21.0275052,0,0,0.141051329
Argentina,ARG,1987,21.8892882,0,0,0.148871053
Argentina,ARG,1988,15.8037744,0,0,0.162141511
Argentina,ARG,1989,13.3289104,0,0,0.16042383
Argentina,ARG,1990,18.1681534,0,0,0.130243879
Argentina,ARG,1991,16.4313292,0,0,0.124238994
Argentina,ARG,1992,20.00505051,0,0,0.127183974
Argentina,ARG,1993,23.84747475,0,0,0.143990957
Argentina,ARG,1994,28.27878788,0,0,0.155826316
Argentina,ARG,1995,28.61212121,0,0,0.148578136
Argentina,ARG,1996,26.01818182,0.009618,0,0.440480082
Argentina,ARG,1997,33.1959596,0.014592,0,0.588645667
Argentina,ARG,1998,32.57878788,0.032541,0.000017,0.59863538
Argentina,ARG,1999,26.80707071,0.034781,0.000026,0.805191111
Argentina,ARG,2000,34.1010101,0.034758,0.000036,0.835716444
Argentina,ARG,2001,41.92626263,0.049361,0.000043,0.756331839
Argentina,ARG,2002,41.50505051,0.073405,0.000047,1.067168992
Argentina,ARG,2003,39.10808081,0.077954,0.000065,1.293467359
Argentina,ARG,2004,35.48787879,0.072446,0.00007,1.129791099
Argentina,ARG,2005,39.60909091,0.071719665,0.000081,1.162768475
Argentina,ARG,2006,43.831,0.06964,0.00009,1.708277201
Argentina,ARG,2007,38.081,0.061593,0.0001089,1.671492477
